sentence,prompt
"10-0-33-2 "","" Aamir Sohail 5-0-31-0 .",Aamir Sohail belongs to a person category .
"10-0-33-2 "","" Aamir Sohail 5-0-31-0 .",10-0-33-2 belongs to none category .
"10-0-33-2 "","" Aamir Sohail 5-0-31-0 .",5-0-31-0 belongs to none category .
CHISINAU 1996-08-31,CHISINAU belongs to a location category .
CHISINAU 1996-08-31,CHISINAU 1996-08-31 belongs to none category .
CHISINAU 1996-08-31,1996-08-31 belongs to none category .
"The match turned on the third-set tiebreaker "","" which the American won 7-5 much to the dismay of the spectators .",American belongs to an other category .
"The match turned on the third-set tiebreaker "","" which the American won 7-5 much to the dismay of the spectators .","on the third-set tiebreaker "","" which the American belongs to none category ."
"The match turned on the third-set tiebreaker "","" which the American won 7-5 much to the dismay of the spectators .",the dismay belongs to none category .
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",Hong Kong belongs to a location category .
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",Britain belongs to a location category .
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",China belongs to a location category .
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",""""""""" constitutional infrastructure """""""" in place "","" with belongs to none category ."
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .","infrastructure """""""" in place "","" belongs to none category ."
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",constitutional belongs to none category .
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",""""""""" constitutional infrastructure """""""" in belongs to none category ."
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",affairs after the handover from Britain to China belongs to none category .
"Hong Kong also had the necessary """""""" constitutional infrastructure """""""" in place "","" with the promise of autonomy in running its affairs after the handover from Britain to China .",affairs after belongs to none category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,Marco Lietti belongs to a person category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,Italy belongs to a location category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,MG-Technogym belongs to an organization category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,( Italy ) belongs to none category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,Italy ) belongs to none category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,4. belongs to none category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,Marco Lietti ( Italy ) MG-Technogym belongs to none category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,4. Marco Lietti ( Italy ) MG-Technogym 1:16 belongs to none category .
4. Marco Lietti ( Italy ) MG-Technogym 1:16,Marco belongs to none category .
"A broad attempt to spur activity in Dutch bond futures has been delayed to give participants a chance to become familiar with the trading system "","" the European Options Exchange ( EOE ) said on Friday .",Dutch belongs to an other category .
"A broad attempt to spur activity in Dutch bond futures has been delayed to give participants a chance to become familiar with the trading system "","" the European Options Exchange ( EOE ) said on Friday .",European Options Exchange belongs to an organization category .
"A broad attempt to spur activity in Dutch bond futures has been delayed to give participants a chance to become familiar with the trading system "","" the European Options Exchange ( EOE ) said on Friday .",EOE belongs to an organization category .
