sentence,prompt
Dealers said the precious metal eased on a report that the International Monetary Fund might sell some of its gold to reduce the debts of the poorest developing countries .,International Monetary Fund is an organization entity .
Dealers said the precious metal eased on a report that the International Monetary Fund might sell some of its gold to reduce the debts of the poorest developing countries .,on is not a named entity .
Dealers said the precious metal eased on a report that the International Monetary Fund might sell some of its gold to reduce the debts of the poorest developing countries .,eased on a report is not a named entity .
"-- Jeffrey Hodgson ( 416 ) 941-8105 "","" e-mail : jeffrey.hodgson@reuters.com",Jeffrey Hodgson is a person entity .
"-- Jeffrey Hodgson ( 416 ) 941-8105 "","" e-mail : jeffrey.hodgson@reuters.com","-- Jeffrey Hodgson ( 416 ) 941-8105 "","" is not a named entity ."
"-- Jeffrey Hodgson ( 416 ) 941-8105 "","" e-mail : jeffrey.hodgson@reuters.com",( is not a named entity .
Queen 's Park 1 Forfar 4,Queen 's Park is an organization entity .
Queen 's Park 1 Forfar 4,Forfar is an organization entity .
Queen 's Park 1 Forfar 4,Park 1 Forfar 4 is not a named entity .
Queen 's Park 1 Forfar 4,Park 1 Forfar is not a named entity .
Queen 's Park 1 Forfar 4,4 is not a named entity .
Queen 's Park 1 Forfar 4,'s is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,Germany is a location entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,Czech Republic is a location entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,France is a location entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,Japan is a location entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,Czech Republic and visiting France against Japan . is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,two is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,other two first-round ties is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,the Czech Republic and visiting is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,Germany against the Czech Republic and is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,The other two first-round is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,Republic and visiting France against Japan is not a named entity .
The other two first-round ties will pit hosts Germany against the Czech Republic and visiting France against Japan .,against Japan . is not a named entity .
BOSTON AT OAKLAND,BOSTON is an organization entity .
