sentence,prompt
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , John Wilkes Booth is a person entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , President Lincoln is a person entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , Wilkes Booth , is not a named entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , President Lincoln , was an actor . is not a named entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , assassinated President Lincoln , is not a named entity ."
"John Wilkes Booth , who assassinated President Lincoln , was an actor .","TL;DR , assassinated President Lincoln is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , Palace of Fine Arts is a location entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , San Francisco is a location entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , June 30 is an other entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , July 1-2 , is an other entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , Kevin O 'Brien is a person entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , , said Kevin O 'Brien , a spokesman is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , The opera company performed at the Palace is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , July is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , and July 1-2 , said is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , , a spokesman for the theater. is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , Arts , is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , company performed at is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , The opera company is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , performed at the Palace of Fine Arts , is not a named entity ."
"The opera company performed at the Palace of Fine Arts , in San Francisco , on June 30 and July 1-2 , said Kevin O 'Brien , a spokesman for the theater.","TL;DR , 'Brien is not a named entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , Wang Ziqiang is a person entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , Institute of Mechanics is an organization entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , , Wang Ziqiang at the Institute of Mechanics is not a named entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , of mechanics , Wang Ziqiang at is not a named entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , made considerable headway in the area is not a named entity ."
"In the field of mechanics , Wang Ziqiang at the Institute of Mechanics has made considerable headway in the area of elastoplastic crack mechanics .","TL;DR , made considerable headway in the area of elastoplastic is not a named entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , Sun Hung Kai Properties is an organization entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , Hong Kong is a location entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , 27 percent is an other entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , a 27 percent share is not a named entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , Sun Hung Kai Properties , a is not a named entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , firm with a 27 percent share ; is not a named entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , , is not a named entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , Hong Kong construction firm with is not a named entity ."
"Sun Hung Kai Properties , a Hong Kong construction firm with a 27 percent share ;","TL;DR , Sun Hung Kai Properties , a Hong is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , Marie Magdefrau Ferraro is a person entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , Bethany is a location entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , Conn. is a location entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , Connecticut Audubon Society wildlife is an organization entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , of Bethany , is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , a van carrying a Connecticut Audubon Society is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , , 50 , of is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , death Thursday when two is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , nearby bushes and is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , began firing at a van is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , armed with assault rifles emerged from is not a named entity ."
"Marie Magdefrau Ferraro , 50 , of Bethany , Conn. , was shot to death Thursday when two bandits armed with assault rifles emerged from nearby bushes and began firing at a van carrying a Connecticut Audubon Society wildlife wild tour group .","TL;DR , of Bethany , Conn. , was shot is not a named entity ."
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","TL;DR , Morgan City is a location entity ."
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","TL;DR , La. is a location entity ."
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","TL;DR , Ten oil workers were missing off Morgan is not a named entity ."
"Ten oil workers were missing off Morgan City , La. , after their rig capsized while heading inland Monday to escape the storm.","TL;DR , their rig is not a named entity ."
