sentence,prompt
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Mr. Tavaya is a person entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Moi is a person entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Robert Mugabe is a person entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Zimbabwe is a location entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",PTA is an organization entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Preferential Trade Area is an organization entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",COMESA is an organization entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Common Market for East and Southern Africa is an organization entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Area ) is not a named entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",Preferential Trade Area ) and COMESA ( Common is not a named entity .
"Welcoming Mr. Tavaya , President Moi said he would continue working closely with President Robert Mugabe of Zimbabwe for the good of the two peoples through such organizations as the PTA ( Preferential Trade Area ) and COMESA ( Common Market for East and Southern Africa ) ( passage omitted ) The new high commissioner applauded President Moi for his efforts and personal initiative in promoting peace and economic cooperation in the region .",for the good of the two peoples is not a named entity .
