sentence,prompt
"MANCHESTER "","" England 1996-08-31",MANCHESTER is a location entity .
"MANCHESTER "","" England 1996-08-31",England is a location entity .
"MANCHESTER "","" England 1996-08-31","MANCHESTER "","" England 1996-08-31 is not a named entity ."
"MANCHESTER "","" England 1996-08-31",""","" England is not a named entity ."
"MANCHESTER "","" England 1996-08-31",""","" England 1996-08-31 is not a named entity ."
"MANCHESTER "","" England 1996-08-31",""","" is not a named entity ."
DHAKA 1996-08-31,DHAKA is a location entity .
DHAKA 1996-08-31,1996-08-31 is not a named entity .
DHAKA 1996-08-31,DHAKA 1996-08-31 is not a named entity .
"Fullback Andre Joubert scored the other "","" scorching in from 40 metres at the start of the second half to add to his three long-range penalties .",Andre Joubert is a person entity .
"Fullback Andre Joubert scored the other "","" scorching in from 40 metres at the start of the second half to add to his three long-range penalties .",the start of the second half is not a named entity .
"Fullback Andre Joubert scored the other "","" scorching in from 40 metres at the start of the second half to add to his three long-range penalties .",""","" scorching is not a named entity ."
U.N. Council concerned about Israeli bulldozers .,U.N. Council is an organization entity .
U.N. Council concerned about Israeli bulldozers .,Israeli is an other entity .
U.N. Council concerned about Israeli bulldozers .,U.N. Council concerned about is not a named entity .
U.N. Council concerned about Israeli bulldozers .,Council concerned about is not a named entity .
U.N. Council concerned about Israeli bulldozers .,about is not a named entity .
U.N. Council concerned about Israeli bulldozers .,U.N. Council concerned about Israeli is not a named entity .
the 205-km sixth and final stage of the Tour of the Netherlands,Tour of the Netherlands is an other entity .
the 205-km sixth and final stage of the Tour of the Netherlands,of the Tour is not a named entity .
the 205-km sixth and final stage of the Tour of the Netherlands,the 205-km sixth and final stage of is not a named entity .
Grand Prix athletics meeting on Friday :,Grand Prix is an other entity .
Grand Prix athletics meeting on Friday :,meeting on Friday is not a named entity .
Grand Prix athletics meeting on Friday :,Prix athletics meeting on Friday is not a named entity .
CARDIFF 1996-08-31,CARDIFF is a location entity .
CARDIFF 1996-08-31,1996-08-31 is not a named entity .
CARDIFF 1996-08-31,CARDIFF 1996-08-31 is not a named entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",U.S. is a location entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",Farrakhan is a person entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",Libya is a location entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",accepting any gifts from Libya is well-known . is not a named entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",accepting any gifts from Libya is well-known is not a named entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",... The view of the U.S. government is not a named entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",view is not a named entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",'s ) not is not a named entity .
"... The view of the U.S. government on ( Farrakhan 's ) not accepting any gifts from Libya is well-known . """"""""",any gifts is not a named entity .
NATIONAL LEAGUE,NATIONAL LEAGUE is an other entity .
NATIONAL LEAGUE,LEAGUE is not a named entity .
NATIONAL LEAGUE,NATIONAL is not a named entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,Hizbollah is an organization entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,Party of God is an organization entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,Israel is a location entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,have waged is not a named entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,war to is not a named entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,) gunmen have waged is not a named entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,a guerrilla is not a named entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,a guerrilla war to oust Israel from is not a named entity .
Hizbollah ( Party of God ) gunmen have waged a guerrilla war to oust Israel from the area .,the is not a named entity .
1= Igor Trandenkov ( Russia ) 5.86,Igor Trandenkov is a person entity .
1= Igor Trandenkov ( Russia ) 5.86,Russia is a location entity .
1= Igor Trandenkov ( Russia ) 5.86,( Russia ) 5.86 is not a named entity .
1= Igor Trandenkov ( Russia ) 5.86,1= Igor Trandenkov ( is not a named entity .
1= Igor Trandenkov ( Russia ) 5.86,1= Igor Trandenkov ( Russia ) 5.86 is not a named entity .
1= Igor Trandenkov ( Russia ) 5.86,Russia ) 5.86 is not a named entity .
Anthony Hill ( Australia ) beat Dan Jenson ( Australia ) 15-9 15-8 15-17 17-15,Anthony Hill is a person entity .
